Designator,Mid X,Mid Y,Rotation,Layer
A1,114.17,-50.11,270.0,top
C1,100.8,-105.35,90.0,top
C2,96.4,-108.0,180.0,top
C3,89.8,-103.4,270.0,top
C4,92.8,-108.0,0.0,top
C5,82.5,-58.4,90.0,top
C6,152.2,-62.1,270.0,top
J1,119.55,-104.9975,270.0,top
J2,138.41,-127.0,90.0,top
J3,109.87,-127.0,90.0,top
J4,88.76,-127.0,90.0,top
J5,85.4,-71.76,0.0,top
J6,147.96,-40.5,270.0,top
JP1,83.6,-95.6,180.0,top
R1,103.3,-105.3,90.0,top
R2,103.3,-101.9,90.0,top
R3,82.4,-71.3,270.0,top
R4,82.4,-75.4,90.0,top
R5,141.9,-60.6125,270.0,top
U1,114.07,-75.89,270.0,top
U2,94.625,-103.995,270.0,top
U3,85.7,-50.76,0.0,top
U4,147.075,-63.295,270.0,top
